Name_of_Mitigation_Action,Sector_Affected,GHGs_Affected,Objective_andor_Activity_Affected,Type_of_Instrument,Status_of_Implementation,Start_year_of_Implementation,Implementation_Entity,Estimate_of_Mitigation_Impact_in_2020_Kt_CO2_eq,Estimate_of_Mitigation_Impact_in_2030_Kt_CO2_eq,Brief_Description
Electric Vehicle Charging and Alternative Fuel Refuelling Infrastructure* ,Transportation,"CO2, CH4, N2O","Accelerate demonstration and deployment of charging and refuelling infrastructure, and supporting codes and standards ", Regulatory,Implemented,2016,Natural Resources Canada,NEd,NEd,"The program supports the demonstration and deployment of electric vehicle (EV) chargers, and alternative fuel (e.g. natural gas, hydrogen) stations along Canada’s highways and freight corridors. In addition, it supports the development and revision of enabling codes and standards for electric and alternative fueled vehicles and refuelling infrastructure. This is a Green Infrastructure initiative under the Investing in Canada Plan. The program is an enabling measure that will not directly reduce emissions but will contribute to unlocking larger emissions reductions. As of November 2019, federal infrastructure investments of have resulted in: •             844 EV fast chargers, 207 of which are currently open to the public; • 17 natural gas refueling stations, 7 of which are open to the public; and •             10 hydrogen refueling stations, 2 of which are open to the public. •             3 additional RFPs are planned, additional projects are being solicited. Additionally, the EV Infrastructure Demonstration (EVID) program Phase 1 and 2 is currently supporting 38 real world demonstrations of innovative EV infrastructure technology and solutions that overcome barriers to adoption of EV infrastructure in the urban environment, such as multi-unit residential buildings and for people without dedicated parking, at workplaces and for public transit. An additional 44 EVID project proposals are currently under review from third call for proposal issued in Fall 2019. "
Energy efficiency of replacement tires,Transportation,CO2,Reduce GHG emissions from transportation fuels ,Regulatory,Planned,2020,Natural Resources Canada ,NEe,NEe,"Canada is developing a standard for the energy efficiency of replacement tires. In 2017, tire testing was initiated in collaboration with Transport Canada and the United States National Highway Traffic Safety Administration, which will inform development of the standard. A report containing results from tire testing was released as well as a market study on the domestic tire industry. The tire industry has been engaged and preliminary discussions with standard development agencies have begun. Draft technical standards will be developed by spring 2020, and are planned to be included in Amendment 17 of the Energy Efficiency Act, which is expected to be published in Canada Gazette Part I in late 2020. "
Energy Efficient Transportation,Transportation,"CO2, CH4, N2O",Improve energy efficiency in transportation in Canada,"Information, Education, Regulatory ",Implemented,2016,Natural Resources Canada,1100,1900,"This program has 3 elements: 1) to provide Canadians a suite of information and awareness tools and materials, including the EnerGuide label for vehicles to help consumers choose more fuel efficient vehicles; 2) to operate Canada’s SmartWay Partnership program, which helps Canada’s commercial/ institutional freight sector benchmark and track their fuel consumption; 3) to promote freight management best practices and accelerate the adoption of energy management best practices in fleets and supply chains. "
Federal Renewable Fuels Regulations*,Transportation,CO2,Regulate renewable content in fuel,Regulatory,Implemented,2010,Environment and Climate Change Canada,4000,NAd,"The regulations require an average 5% renewable fuel content for gasoline, and 2% renewable fuel content in diesel fuel. Provinces such as Alberta, British Columbia and Ontario also have renewable fuel regulations in their respective jurisdictions. For example, these measures include the Alberta Renewable Fuel Standard Regulation, British Columbia Renewable and Low Carbon Fuel Requirements Regulation, Saskatchewan Renewable Diesel Program, Ontario Ethanol in Gasoline Regulation, and Ontario renewable fuel requirements for gasoline and diesel. Certain other provinces have established incentive programs for renewable fuels, including the Manitoba Biofuel Production Incentive and the Ontario Ethanol Growth Fund."
Heavy Duty Vehicle GHG Regulations Phase 1*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from the on-road transportation sector,Regulatory,Implemented,2014,Environment and Climate Change Canada,2600,5700,These regulations apply increasingly stringent GHG emissions standards to new on-road heavy-duty vehicles and engines of model year 2014 to 2017 imported or manufactured in Canada.
Heavy Duty Vehicle GHG Regulations Phase 2*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from the on-road transportation sector,Regulatory,Implemented,2020,Environment and Climate Change Canada,NAb,5800,"The amendments to the Heavy-duty Vehicle and Engines Greenhouse Gas Emission Regulations were published on May 30, 2018. These regulations apply increasingly stringent GHG emissions standards to new on-road heavy-duty vehicles and engines imported or manufactured in Canada starting with model year 2021. Further, the regulations introduce new GHG emission standards that apply to trailers hauled by on-road transport tractors imported or manufactured in Canada for 2020. The Regulatory Impact Analysis Statement accompanying the regulations indicates $1.6 billion in benefits from fuel savings in 2030."
Invest in efficient trade and transportation corridors,Transportation,"CO2, CH4, N2O",Improve the efficiency of trade and transportation corridors,Economic ,Implemented,2018,Transport Canada ,NAa,NAa,"Through the National Trade Corridors Fund (NTCF), the Government of Canada is investing $2.4 billion over 11 years to strengthen the efficiency and resilience of Canada’s transportation system by addressing bottlenecks, adding capacity, and improving its ability to adapt to a changing climate.  Since 2017, Transport Canada has announced funding for 81 projects through three competitive calls for proposals, with a total cost of $3.6 billion and a federal investment of $1.7 billion. Projects funded by the NTCF are located in every province and territory, and were required to demonstrate their ability to meet the NTCF’s overall program objectives, including increasing the resilience of the Canadian transportation system in a changing climate and ensure it adapts to new technologies and future innovation. All applicants were required to include climate change adaptation and resilience assessments and greenhouse gas emissions analysis in their comprehensive project proposals. "
Invest in public transit*,Transportation,"CO2, CH4, N2O, HFC",Improve access to public transit in Canada ,Economic,Adopted,2016,Infrastructure Canada ,NAd,NAd,"The Investing in Canada Plan makes $28.7 billion available for public transit: •   The Public Transit Infrastructure Fund committed $3.17 billion to 1,194 projects. •   As of November 2019, the Investing in Canada Infrastructure Program, which launched in 2018, has allocated $20.1 billion to advance public transit projects over a decade. To date, the program has committed $7.42 billion to 46 public transit projects. At least $5 billion has been allocated to the Canada Infrastructure Bank for mobility projects, and multiple transit projects have been selected to receive investment. To date the bank has committed over $3.33 billion to advance major rail projects through a range of financing instruments."
Light-Duty Vehicle GHG Regulations Phase 1*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from the on-road transportation sector,Regulatory,Implemented,2011,Environment and Climate Change Canada,11900,23300,The regulations establish progressively stringent GHG emission standards to new passenger automobiles and light trucks manufactured or imported into Canada for model years 2011-2016.
Light-Duty Vehicle GHG Regulations Phase 2*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from the on-road transportation sector,Regulatory,Implemented,2014,Environment and Climate Change Canada,2800,24300,The regulations establish progressively stringent GHG standards for new vehicles of model years 2017 to 2025.
Memorandum of Understanding between the California Air Resources Board and Environment and Climate Change Canada ,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from vehicles ,Voluntary Agreement,Implemented,2019,Environment and Climate Change Canada,NAd,NAd,"The agreement commits Canada and California to work together on their respective regulations to cut down on greenhouse gas pollution from vehicles like cars, pickup trucks and SUVs, and to work together to promote the uptake of cleaner vehicles. Canada and California will also share best practices and technical information about regulating cleaner fuels. "
Memorandum of Understanding between Transport Canada and Rail Industry for Reducing Locomotive Emissions*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from railway locomotives operated by Canadian railway companies in Canada,Voluntary Agreement,Implemented,2018,Transport Canada,150,600,"This Memorandum of Understanding is a Canadian industry-government initiative, covering the 2018-2022 time period. The MOU includes GHG intensity targets for Class I freight, intercity passenger railways and short line railways and also encourages railways to adopt measures and undertake actions to improve GHG emission intensity from rail operations. In addition, the Locomotive Emission Regulations under the Railway Safety Act came into effect on June 9, 2017, and target criteria air contaminant emissions from locomotives. "
Meeting Canada’s Zero-Emission Vehicle Targets*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from on-road lightduty vehicles and support clean transportation innovation,"Economic, Voluntary Agreement ",Implemented,2019,"Transport Canada, provincial, territorial, and municipal governments, industry, nongovernmental organizations",NEa,1900,"In 2019, the Government of Canada set the following sales targets for zero-emission vehicles: 10% of new light-duty vehicle sales by 2025; 30% by 2030; and 100% by 2040. The federal government is pursuing a suite of measures to help put Canada on a path towards meeting these targets. Budget 2019 included $300 million over three years for the creation of a federal Incentives for Zero-Emission Vehicles (iZEV) Program. The iZEV Program launched on May 1, 2019 and provides point-of-sale incentives of up to $5,000 on eligible zero-emission vehicles, which includes plug-in hybrids. To support business adoption of zero-emission vehicles, Budget 2019 also introduced a 100 % tax write-off for eligible vehicles. In addition, work has begun to establish voluntary agreements with Original Equipment Manufacturers, to ensure supply of zero-emission vehicles can meet increased demand in Canada. This work will continue to 2020. "
Retrofit requirements for existing heavy-duty trucks to install fuel-saving devices,Transportation,CO2,Reduce GHG emissions from existing heavyduty vehicles,Information / Research,Planned,2018,"Transport Canada, provincial and territorial governments",NEe,NEe,"Jurisdictions are taking collective action via a federal, provincial and territorial task force to study opportunities to encourage greater use of fuel saving devices in heavy-duty trucks.  "
Zero Emission  Vehicle Infrastructure Program*,Transportation,"CO2, CH4, N2O",Enabling the deployment of zero emission vehicles , Fiscal,Implemented,2019,Natural Resources Canada,NEd,NEd,"Budget 2019 announced $130 million over 5 years to deploy recharging and refueling stations in workplaces, public parking spots, commercial and multiuse residential buildings and remote locations. These investment were made to support Canada’s zero emission vehicle sales targets."
British Columbia SCRAP-IT Program ,Transportation,"CO2, N2O",Reduce GHGs from transportation,Economic,Implemented,1996,British Columbia,NEc,NEc,"The SCRAP-IT Program, operational on and off since 1996, offers qualifying vehicle owners incentives to take their older vehicles off the road rather than resell them. Incentives are offered to support the purchase of zero emission vehicles and support other low carbon forms of transportation. Emissions reduction estimates for this measure are aggregated into the estimates for another overarching measure. "
British Columbia Transport Infrastructure Investments ,Transportation,"CO2, N2O",Reduce GHGs from transportation,Economic,Implemented,2016,British Columbia,NEh,NEh,British Columbia now requires consideration of climate change impacts in transportation infrastructure design plans to improve the province’s transportation network and transition to electric drive or low carbon fuels by transitioning to a fully electric bus fleet over two decades and investing in hybrid diesel-electric or dual fuel capable ferries that can run on either liquefied natural gas or ultra-low sulphur diesel. 
British Columbia GHG Reduction Regulation Enabling Utilities to Incent Natural Gas Vehicles* ,Transportation,"CO2, N2O",Reduce GHGs from transportation,Economic,Implemented,2012,British Columbia,NEh,NEh,"The Province implemented the Greenhouse Gas Reduction (Clean Energy) Regulation in 2012 that permits utilities to offer incentives for the purchase of natural gas vehicles, and to make investments in liquefied natural gas and compressed natural gas fuelling infrastructure in sectors such as medium and heavy duty on-road transportation, marine, mining, and locomotive support. Amendments were made in 2015 that allow utilities to double the total pool of incentives available to convert commercial fleets to natural gas, when the new incentives go towards vehicles using 100% renewable natural gas. The program will also promote investments in natural gas fuelling stations at customers' facilities."
British Columbia Fueling Marine Vessels with Cleaner Burning Liquefied Natural Gas,Transportation,"CO2, N2O",Reduce GHGs from marine transportation,Economic,Planned,2017,British Columbia,NEh,NEh,"Amendments to the Greenhouse Gas Reduction Regulation to allow utilities to provide further incentives for marine bunkering of liquefied natural gas. Emission reductions are expected to occur outside the jurisdiction when used by international vessels. However, this program is also targeting domestic vessels, such as ferries and support vessels in the ports."
British Columbia Supporting Zero Emission  Vehicle Charging Infrastructure*,Transportation,"CO2, N2O",Reduce GHGs from transportation,"Regulatory, Economic",Implemented,2017,British Columbia,NEh,NEh,"The BC government is expanding support for the development of electric vehicle (EV) charging stations in buildings across the province by ensuring regulations allow local governments to require new buildings to install adequate infrastructure to support electric vehicle charging and developing policies. It is also exploring regulatory/legislative changes that would give strata property owners the right, with limited exceptions, to charge EVs at home. The Charging Incentives and Solutions Program provided incentives towards the cost of the purchase and installation of eligible electric vehicle charging equipment and support services for planning and installing electric vehicle chargers. Budget 2019 announced $20 million to support the creation of new public fast-charging and hydrogen fueling stations, an additional $5 million for incentives for the installation of home and workplace charging stations, and $5 million invested by government in charging stations at highway rest areas and buildings owned by the province. A corporate supply arrangement has been established to streamline public procurement of electric vehicle charging stations. This arrangement allows the provincial public sector, Indigenous and non-Indigenous communities to purchase electric vehicle charging stations directly from suppliers, often with favourable pricing. It covers either supply and/or installation of the charging station. "
British Columbia Renewable and Low Carbon Fuel Requirements*,Transportation,"CH4, CO2, N2O",Reduce GHG from transportation fuels,Regulatory,Implemented,2008,British Columbia,NEh,4400,"British Columbia continues to implement its renewable and low carbon fuel policy. The Regulation requires a minimum renewable fuel content for the fuel supplied in British Columbia (5% for gasoline, 4% for diesel) and requires fuel suppliers to reduce the average carbon intensity of transportation fuels by 20% by 2030. "
British Columbia Clean Energy Vehicles Program* ,Transportation,"CO2, N2O",Reduce GHGs from transportation,Economic,Implemented,2011,British Columbia,NEh,300,"British Columbia continues to build upon its commitment to support clean energy vehicle uptake and charging infrastructure deployment through incentive programs, an evolving regulatory framework, fleets programs, and outreach and training. The program from December 2011-March 2014 provided incentives for eligible clean energy vehicles and included deployment of charging point infrastructure for these vehicles. Phase 2 of the Clean Energy Vehicles Program began in April 2015 with similar incentives, and the program received further funding in 2016-17 and 2019 to support continued point-of-sale purchase incentives of up to $3,000 for battery electric vehicles, longer range plug-in hybrids, or hydrogen fuel cell electric vehicles. British Columbia also offers incentives of up to $50,000 for specialty-use vehicles such as zero emission buses and heavy-duty vehicles. British Columbia will also expand incentives for buses, medium- and heavy-duty vehicles, port and airport equipment and marine vessels."
British Columbia Zero Emissions Vehicle Mandate*,Transportation,"CO2, N2O",Reduce ,Regulatory,Adopted,2019,British Columbia,NEh,1300,"British Columbia has passed the Zero-Emission Vehicles Act to phase in targets for the sale of zero-emission vehicles (ZEVs). This legislation sets targets of 10% ZEV sales by 2025, 30% by 2030, and 100% by 2040, while government will take additional steps to make ZEVs more affordable."
British Columbia Increased Supply of Renewable Fuels,Transportation,"CO2, N2O",Reduce ,"Economic, Education, Fiscal, Information, Regulatory, Research, Voluntary Agreement",Planned,2020,British Columbia,NEh,NEh,British Columbia will increase the supply of cleaner fuels by ramping up new production in BC of 650 million litres of renewable gasoline and diesel by 2030.
British Columbia Tailpipe Emissions Standards*,Transportation,"CO2, N2O",Reduce GHGs from transportation,Regulatory,Planned,2025,British Columbia,NEb,400,British Columbia will make vehicles run cleaner by increasing tailpipe emissions standards for vehicles sold after 2025.
Alberta GreenTRIP ,Transportation ,CO2,Increase accessibility and use of public transit in Alberta ,Economic,Implemented,2010,Alberta,NEh,NEh,"GreenTRIP helps provide Albertans with a wider range of sustainable public transit alternatives for local, regional and inter-municipal travel, making public transit more accessible. It also helps reduce traffic congestion by lowering the number of single occupancy vehicles on Alberta roads and provides people with broader transportation options."
Saskatchewan Freight Strategy,Transportation,CO2,Reduce emissions from freight transportation,Voluntary Agreement,Planned,2020,Saskatchewan,NEh,NEh,"Saskatchewan will create a freight strategy to improve delivery times, reduce fuel use, and increase efficiency."
Saskatchewan Congestion and Idling Reduction Program,Transportation,CO2,Reduce emissions from congestion and idling,Voluntary Agreement,Adopted,2019,Saskatchewan,NEh,NEh,The program will utilize traffic data to identify congested areas and bottlenecks and to develop the program and projects to address congestion issues and help mitigate GHG emissions.
Saskatchewan Trucking Partnership Program,Transportation,CO2,Increase fuel efficiency of trucks,Voluntary agreement,Adopted,2019,Saskatchewan,NEh,NEh,The approach is to first baseline fuel savings already in place through existing agreements and then work to expand the program and quantify savings annually.
Saskatchewan Short Line Rail Program,Transportation,CO2,Increase use of short line rail to reduce transportation emissions,Voluntary Agreement,Adopted,2018,Saskatchewan,NEh,NEh,Support industry in expanding the size and usage of the short haul (short line) rail systems.
Saskatchewan Government Vehicles Right  Sizing and Best Practice Procurement Program  ,Transportation,CO2,Increase fuel efficiency of government vehicles,Voluntary Agreement,Adopted,2009,Saskatchewan,NEh,NEh,"Minimize the environmental impact of government vehicles by right-sizing the fleet. The initiative involves meeting regularly with Ministry clients to identify their needs for fleet size, utilization, and standardized vehicles based on service delivery. Since 2009, the Saskatchewan Government has reduced the size of the fleet by 2,500 vehicles, or almost 45%. The existing fleet is now approximately 3,200 vehicles. A right-sizing assessment is completed and reviewed as a part of all new vehicle and vehicle replacement requests to ensure the fleet is operating in the most efficient and effective capacity. The government’s goal is to reduce CO2 emissions from its vehicles by 20% from 2007 levels by 2020. The Government has made progress and is close to meeting the target with an 18% reduction of emissions from full maintenance passenger vehicles achieved as of March 31, 2017."
Manitoba Efficient Trucking Program,Transportation,"CO2,",Reduce emissions from freight transportation,Voluntary Agreement,Planned,2019,Manitoba,NEh,5.7,"In June 2019, Manitoba and Canada launched a 3-year $11.8 million efficient trucking program for the installation of fuel saving technologies and retrofits to heavy-duty vehicles to reduce fuel consumption and greenhouse gas emissions, which includes $5.9 million in funding from the Low Carbon Economy Leadership Fund. The program is forecast to reduce global emissions by 60,000 tonnes by 2023."
Manitoba biofuel standards,Transportation,CO2,Reduce emissions from transportation,Regulatory,Planned,2020,Manitoba,NEh,NEh,"In November 2019, Manitoba announced it would increase the minimum mandatory ethanol content in gasoline to 10% and the minimum mandatory biodiesel content in diesel fuel to 5% in 2020. These measures are estimated to reduce emissions by at least 475 kilotonnes by 2023."
Manitoba government fleet reduction,Transportation,"CO2,",Reduce emissions from transportation,Voluntary Agreement,Implemented,2019,Manitoba,NEh,NEh,"In October 2019, the Manitoba government committed to remove 400 vehicles from the government fleet as part of a fleet vehicle reorganization. Over the next five years, with a smaller fleet, it is estimated the province will save about 8.8 million litres of fuel and could reduce emissions by approximately 23,300 t."
Ontario Transit Investments ,Transportation,"CO2, CH4, N2O","Increasing options for transportation, safe and secure mobility, and lower GHG emissions",Economic,Implemented,2000,Ontario,NEh,NEh,"Through the GO Rail Expansion program the existing GO rail network will be transformed by providing two-way, all-day frequent service over core segments of the GO Transit rail network. The Province will look for opportunities for technology that could be used to electrify core segments of the GO Transit rail network, such as an overhead catenary system or hydrogen fuel cells. Ontario is also making the single largest capital investment in new subway builds and extensions in Ontario’s history through the province’s “New Subway Transit Plan for the Greater Toronto and Hamilton Area (GTHA)”, which carries a total estimated capital construction cost of $28.5 billion for four priority projects. Ontario also provides financial support for municipal transit programs across the province through initiatives such as the Gas Tax program and provincial contributions to the federal Investing in Canada Infrastructure program, and investments in other important projects such as the Ottawa Light Rail Transit and Waterloo Rapid Transit projects."
Ontario Low-Carbon Solutions for the Heavy Duty Trucking Sector,Transportation,CO2,Remove barriers to expanding compressed natural gas refueling for trucks,Regulatory,Planned,2019,Ontario,NEh,NEh,"On April 3, 2019, Bill 66, Restoring Ontario’s Competitiveness Act (2018) received Royal Assent. The bill contains amendments to the Technical Standards and Safety Act, 2000, that allows the Government and Consumer Services Minister to review and approve alternate rules created by the Technical Standards and Safety Authority. Alternate rules will be applied to the Operating Engineers regulation, under the Act, and are intended to reduce burden on business by adopting a risk-informed framework to determine operating engineer staffing requirements. The changes are the first steps toward implementing the government’s commitment to remove barriers to expanding 24/7 compressed natural gas refueling stations for trucks along the 400-series highways."
Ontario Greener Gasoline Regulation (amendment to the Ethanol in Gasoline regulation),Transportation,CO2,Reduce GHG emissions from transportation,Regulatory,Implemented,2020,Ontario,NEh,NEh,"Currently, the required level of ethanol in gasoline is five percent by volume. In 2020, gasoline suppliers will be required to maintain an average of 10% renewable content (e.g. ethanol) in regular gasoline. The renewable content used for compliance will be required to meet an average lifecycle greenhouse gas (GHG) performance benchmark of 45% fewer GHG emissions than petroleum gasoline, assessed across the fuel’s full well-to-wheels lifecycle from extraction or cultivation to processing, distribution and end-use combustion. This is determined in combination with the 10% average renewable content. Starting in 2023, fuel volumes sold in or distributed from Northern Ontario will be subject to the renewable content requirements introduced in 2020."
Québec Assistance Program to Improve Public Transit Services,Transportation,"CO2, CH4",Reduce GHG emissions from the transportation sector ,Economic,Implemented,2013,Québec,23,NEh,"The program will impact GHG emissions associated with passenger transportation through supporting transit authorities to increase public transit services, operations, and capital projects. Investments are made in urban and rural services as well as interregional bus transport. "
Québec Transportation Electrification Initiatives*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions in the transportation sector and accelerate the deployment of electric vehicles and associated infrastructure,Economic,Implemented,2012,Québec  ,89.5,NEh,"Québec places significant emphasis on electric transportation, including light vehicles and electric public transportation, and promoting the development of the electric industrial sector. Targets for 2020 aim to: reach 100,000 electric vehicles and rechargeable hybrids; reduce the number of litres of fuel consumed annually in Québec by 66 million; reach 5,000 jobs in the electric vehicle sector and bring about investments of $500 million. The Drive Green program has two components: the Drive Electric program and the Connected at Work program. The Drive Electric program offers a rebate to individuals, businesses, not-for-profit organizations and municipalities in Québec who purchase or rent an eligible vehicle. The rebate varies from $4,000 to $8,000 for fully electric vehicles and rechargeable hybrids. All those who purchase or rent a fully electric vehicle or a plug-in hybrid electric vehicle can also ask for financial assistance to purchase and install a 240-volt charging station at their home. The Connected at Work program offers businesses, municipalities and organizations a reimbursement on the installation of charging stations at the workplace. The financial assistance offered for a charging station equals the lesser of the following amounts: 50% of the eligible expenses or $5,000. The maximum amount of financial assistance granted to an establishment is set at $2,000 per fiscal year. Hydro-Québec’s Electric Circuit is the first public network of charging stations for electric vehicles in Canada, offering 240-volt and 400-volt charging stations. As of June 2019, the network had 1,947 charging stations in service, including 195 quick-charge stations."
Québec Eco Trucking Program*,Transportation,"CO2, CH4, N2O",Reduce the GHG emissions from the transportation sector ,Economic,Implemented,2013,Québec  ,325,NEh,The Eco-trucking program aims to promote the use of equipment and technology to improve energy efficiency while reducing GHGs in the transportation of goods. This program offers financial support for eligible technology and the completion of projects to reduce GHG emissions. 
"Québec Energy Efficiency Program for Marine, Air and Railway Transportation",Transportation,"CO2, CH4, N2O",Reduce GHG emissions in the transportation sector,Economic,Implemented,2013,Québec  ,135,NEh,"This program aims to reduce or avoid GHG emissions by offering financial assistance to improve the energy efficiency of organizations and companies that use marine, air or railway transportation services, particularly through the use of more efficient transportation materials and equipment. The program consists of two components: Infrastructure and Equipment, and Studies and Pilot Projects. Businesses, municipal organizations and other legally constituted organizations with an establishment in Québec are eligible for the program. "
Québec Program Aiming to Reduce or Avoid GHG emissions through Intermodal Transportation*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions in the transportation sector,Economic,Implemented,2013,Québec  ,250,NEh,"The program aims to reduce or avoid GHG emissions generated by the transportation of goods or people through intermodal projects and by promoting marine and railway services. Businesses, municipal organizations and other legally incorporated organizations with an establishment in Québec are eligible for the program. The program has five components–projects with infrastructure expenses, projects with no infrastructure expenses, pilot projects, studies and the promotion of maritime or railway modes of transportation – and the financial contributions vary depending on the component. Assistance can vary from $400 to $750 per tonne of reduced or avoided GHG emissions for components 1 and 2. For component 3, a maximum of $1 million can be granted per project, whereas for components 4 and 5, the maximum is $50,000. "
Québec Support for the deployment of electric school buses,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from the transportation sector ,Economic,Implemented,2013,Québec ,NEh,NEh,"A one-time rebate of $105,000 is granted for the purchase of a fully electric school bus. The rebate is issued to: (1) school bus providers on contract with school boards and private teaching establishments, and (2) school boards and accredited private teaching establishments. "
Québec Zero Emission Vehicle Regulation*,Transportation,"CO2, CH4, N2O",Reduce GHG emissions from the transportation sector and accelerate the deployment of electric vehicles and related infrastructure,Regulatory,Implemented,2018,Québec,NEh,NEh,"Starting with 2018 models, automakers are required to meet a credit target set by the government. Credits may be accumulated by the sale of zero emission vehicles (ZEV), or by obtaining credits from other auto manufacturers. Automakers that sell or lease a yearly average of more than 4,500 new vehicles (all light models combined) are subjected to the ZEV standard. The ZEV standard is expected to contribute to the acquisition of approximately 64,000 electric vehicles by 2020. This regulation is an enabling measure that will not directly reduce emissions but will contribute to unlocking larger emissions reductions."
Québec Regulation on the Activation of Speed Limiters with a Maximum of 105 km/h,Transportation,"CO2, CH4, N2O",Reduce GHG emissions of heavy vehicles ,Regulatory,Implemented,2009,Québec ,NEh,NEh,"Since January 1, 2009, serial speed limiters have been activated and regulated in such a way as to prevent vehicles from exceeding 105 km/h. This measure is for heavy vehicle operators from anywhere whose trucks use the Québec roadway network.  "
Québec Eco-driving for heavy vehicles,Transportation,CO2,Reduce GHG emissions in the transportation sector,Education,Planned,2019,Québec,19.8,NEh,The Program offers financial assistance for eco-driving training or awareness activities for drivers of light or heavy vehicles. Financial assistance is provided to the applicant in the form of a purchase rebate applied immediately upon invoicing of an activity by an approved organization. The Program is intended to encourage the adoption of eco-driving by equipping drivers of on-road vehicles to: •             understand the factors that explain the fuel consumption of a road vehicle; •             acquire new knowledge that will enable them to adopt the most appropriate behaviours to reduce energy consumption; • develop more energy-efficient and safe driving
New Brunswick Electric Vehicles and Infrastructure,Transportation,"CO2, N2O","To have 20,000 electric vehicles registered by 2030",Voluntary Agreement, Adopted ,2016,New Brunswick,NEh,40,"New Brunswick's electric vehicle recharge network now includes: 26 Level 3 fast-charging stations located along all major corridors across the province, linking the network with neighbouring provinces and state, and 95 regular charging stations, situated in most communities throughout the province. Robust charging infrastructure is a necessary first step in supporting electric vehicle procurement."
Prince Edward Island Sustainable Transportation Action Plan,Transportation ,CO2,"Reduce emissions from transportation sector through efficiency, fuel-switching and alternative transportation modes",Voluntary Agreement ,Planned,2024,Prince Edward Island,NEb,NEh,"A Sustainable Transportation Action Plan was released in November 2019. The action plan contains 27 actions in four key areas: public transit, vehicles, active transportation, and community design. A variety of government departments, agencies, and organizations will implement the plan through programs, services and policies over the course of 5 years. "
Prince Edward Island Greening Government,Transportation,CO2,Reduce emissions from government fleet and buildings,Voluntary Agreement ,Planned,2023,Prince Edward Island,NEb,6,"As part of the Climate Change Action Plan, the province plans to implement a greening government program, including the development of a GHG emissions inventory for government, energy efficiency upgrades to provincial buildings, improved fuel efficiency of its vehicle fleet, and a commitment to green procurement. Fuel-switching (light fuel oil to biomass) has begun in several government buildings and three electric vehicles and two hybrid vehicles were added to the government fleet. Additional fuel-switching and energy efficiency measures are planned for the following years, and additional electric and hybrid vehicles will be added to the government fleet."
Prince Edward Island Electric Vehicle Charging Network,Transportation,CO2,Encourage adoption of electric vehicles,Voluntary Agreement ,Planned,2019,Prince Edward Island,NEh,NEh,"Federal and provincial funding support was secured to build PEI's first level 3 electric vehicle fast charger network. Six public locations were chosen: O’Leary, Summerside, Borden-Carleton, Charlottetown, Wood Islands, and Souris. Installation of the charging stations will be completed in 2019/2020."
Newfoundland and Labrador freight transportation measures ,Transportation ,"CO2, CH4, N2O",Improve onroad freight transportation efficiency,Fiscal,Implemented,2019,Newfoundland and Labrador,NEh,NEh,"To provide incentives for freight transportation companies to install technologies such as aerodynamic devices and alternative power sources (e.g., auxiliary batteries)."
Newfoundland electric vehicle charging network ,Transportation ,"CO2, CH4, N2O",Encourage adoption of electric vehicles,Fiscal,Planned,2019,Newfoundland and Labrador,NEh,NEh,To introduce level-3 charging stations to the province’s existing network of Level-2 charging stations. 14 level 3 fast-charging stations will be located on the Trans Canada Highway. Level-3 stations are necessary to allow for increased penetration of EVs in the province.
Oil and Gas Clean Technology Program*,Oil and Gas,"CO2, CH4, N2O",Reduce GHG emissions,Economic,Implemented,2016,Natural Resources Canada,NEc,NEc,"The program provided $50 million over two years to support 8 innovative, industry-led projects to develop and demonstrate cost-effective technologies that reduce GHG emissions from the oil and gas sector. In addition to the direct emissions reductions from demonstration projects, the program will contribute additional indirect emissions reductions of approximately 1,500-2,500 Kt in 2030. The program is expected to deliver long-term emissions reductions through supporting the development and demonstrations of clean energy technologies which reduces technical risk and helps accelerate market adoption of the funded technologies. This program is part of the Energy Innovation Program; mitigation estimates are included under that program."
Regulations to Address Methane in the Oil and Gas Sector*,Oil and Gas,CH4,Reduce emissions from methane in the oil and gas sectors in Canada,Regulatory,Implemented,2020,Environment and Climate Change Canada,4000,20000,"As part of the Pan-Canadian Framework, the Government of Canada reaffirmed its commitment to reduce methane emissions from the oil and gas sector by 40 to 45% from 2012 levels by 2025, building on provincial actions and targets. To implement this commitment, Canada introduced federal regulations in April 2018 to reduce venting and fugitive methane emissions from existing and new oil and gas sources. The regulations will enter into force in January 2020."
